ID,ticker,Date,Open,High,Low,Close,Volume,Daily_Return,Return_Excel,SMA_20,SMA_50,VOL_20,Trend_20_50,Max_Close,Drawdown
1194,AAPL,8/29/25,232.285,233.154,231.146,231.915,39418400,-0.00180602,-0.001807735,225.4814,215.17288,0.01730662,Uptrend,257.854,-0.100595686
1195,AAPL,9/2/25,229.028,230.626,226.75,229.498,44075600,-0.0104247,-0.010421922,226.81015,215.75128,0.017741371,Uptrend,257.854,-0.109969207
1196,AAPL,9/3/25,236.98,238.619,234.133,238.239,66427800,0.0380899,0.038087478,228.5974,216.49452,0.018970446,Uptrend,257.854,-0.076070179
1197,AAPL,9/4/25,238.219,239.668,236.511,239.548,47549400,0.00549329,0.005494482,229.9347,217.2879,0.016107991,Uptrend,257.854,-0.070993663
1198,AAPL,9/5/25,239.768,241.086,238.259,239.458,54870400,-0.00037531,-0.000375708,230.9292,218.05432,0.014968699,Uptrend,257.854,-0.071342698
1199,AAPL,9/8/25,239.068,239.917,236.111,237.65,48999500,-0.0075514,-0.007550385,231.3683,218.79576,0.012225512,Uptrend,257.854,-0.078354418
1200,AAPL,9/9/25,236.77,238.549,233.134,234.123,66313900,-0.0148394,-0.014841153,231.72645,219.46506,0.012594636,Uptrend,257.854,-0.092032701
1201,AAPL,9/10/25,231.965,232.195,225.731,226.57,83440800,-0.0322595,-0.03226082,231.58355,219.90168,0.014480349,Uptrend,257.854,-0.12132447
1202,AAPL,9/11/25,226.66,230.227,226.43,229.807,50208600,0.0142863,0.014286975,231.4187,220.35016,0.014380812,Uptrend,257.854,-0.108770855
1203,AAPL,9/12/25,228.998,234.283,228.798,233.843,55824200,0.017563,0.017562563,231.4831,220.78714,0.014932954,Uptrend,257.854,-0.093118586
1204,AAPL,9/15/25,236.77,237.959,234.802,236.471,42699500,0.0112359,0.011238309,231.73835,221.25454,0.015063328,Uptrend,257.854,-0.082926773
1205,AAPL,9/16/25,236.95,240.986,236.091,237.919,63421100,0.00612589,0.006123372,232.101,221.82274,0.015067189,Uptrend,257.854,-0.077311192
1206,AAPL,9/17/25,238.739,239.867,237.5,238.759,46508000,0.00352726,0.003530613,232.5221,222.40654,0.015054568,Uptrend,257.854,-0.074053534
1207,AAPL,9/18/25,239.738,240.966,236.421,237.65,44249600,-0.00464458,-0.004644851,233.11505,222.94562,0.014270575,Uptrend,257.854,-0.078354418
1208,AAPL,9/19/25,240.996,246.061,239.977,245.262,163741300,0.0320329,0.032030297,234.14405,223.61158,0.015570621,Uptrend,257.854,-0.048833836
1209,AAPL,9/22/25,248.06,256.391,247.88,255.832,105517400,0.0430957,0.04309677,235.5587,224.5139,0.017743963,Uptrend,257.854,-0.007841647
1210,AAPL,9/23/25,255.632,257.091,253.334,254.184,60275200,-0.00644326,-0.006441727,236.9209,225.43394,0.017861839,Uptrend,257.854,-0.01423286
1211,AAPL,9/24/25,254.973,255.492,250.797,252.066,42303700,-0.00833237,-0.008332547,238.0698,226.30184,0.018113041,Uptrend,257.854,-0.022446811
1212,AAPL,9/25/25,252.965,256.921,251.466,256.621,55202100,0.018073,0.018070664,239.3875,227.2399,0.018349605,Uptrend,257.854,-0.004781776
1213,AAPL,9/26/25,253.854,257.351,253.534,255.213,46076300,-0.00548908,-0.00548669,240.5314,228.15258,0.018493553,Uptrend,257.854,-0.01024223
1214,AAPL,9/29/25,254.313,254.753,252.765,254.184,40127700,-0.00403196,-0.004031926,241.64485,229.02154,0.018542432,Uptrend,257.854,-0.01423286
1215,AAPL,9/30/25,254.613,255.672,252.865,254.383,37704300,0.0007861,0.000782897,242.8891,229.86852,0.018226264,Uptrend,257.854,-0.013461106
1216,AAPL,10/1/25,254.793,258.539,254.683,255.203,48713900,0.00322033,0.003223486,243.7373,230.69358,0.016513848,Uptrend,257.854,-0.010281012
1217,AAPL,10/2/25,256.331,257.93,253.904,256.881,42630200,0.00657664,0.006575158,244.60395,231.5572,0.016522229,Uptrend,257.854,-0.003773453
1218,AAPL,10/3/25,254.423,258.989,253.704,257.77,49155600,0.00346125,0.003460746,245.51955,232.44638,0.016495551,Uptrend,257.854,-0.000325766
1219,AAPL,10/6/25,257.74,258.819,254.803,256.441,44664100,-0.00515461,-0.005155759,246.4591,233.30658,0.016417185,Uptrend,257.854,-0.005479845
1220,AAPL,10/7/25,256.561,257.151,255.183,256.232,31955800,-0.000818034,-0.000815002,247.56455,234.15922,0.015862926,Uptrend,257.854,-0.006290381
1221,AAPL,10/8/25,256.272,258.27,255.862,257.81,36496900,0.00616029,0.006158481,249.12655,235.0989,0.013274036,Uptrend,257.854,-0.000170639
1222,AAPL,10/9/25,257.56,257.75,252.895,253.794,38322000,-0.0155779,-0.015577363,250.3259,236.00256,0.014018144,Uptrend,257.854,-0.015745344
1223,AAPL,10/10/25,254.693,256.132,243.764,245.032,61999100,-0.0345221,-0.034524063,250.88535,236.76052,0.016237488,Uptrend,257.854,-0.049725814
1224,AAPL,10/13/25,249.138,249.448,245.322,247.42,38142900,0.00974434,0.009745666,251.4328,237.66982,0.016198419,Uptrend,257.854,-0.040464759
1225,AAPL,10/14/25,246.361,248.609,244.463,247.53,35478000,0.000444159,0.000444588,251.91335,238.56196,0.016179282,Uptrend,257.854,-0.040038161
1226,AAPL,10/15/25,249.248,251.576,247.23,249.099,33893600,0.00633653,0.006338626,252.43035,239.49406,0.016204465,Uptrend,257.854,-0.033953322
1227,AAPL,10/16/25,248.01,248.799,244.893,247.21,39777000,-0.00758001,-0.00758333,252.90835,240.18222,0.01628336,Uptrend,257.854,-0.041279173
1228,AAPL,10/17/25,247.78,253.135,247.031,252.046,49147000,0.0195594,0.019562315,253.24755,240.83178,0.015285217,Uptrend,257.854,-0.022524374
1229,AAPL,10/20/25,255.642,264.124,255.382,261.986,90483000,0.0394388,0.039437246,253.55525,241.49414,0.014774113,Uptrend,261.986,0
1230,AAPL,10/21/25,261.626,265.033,261.576,262.516,46695900,0.00202102,0.002023009,253.97185,242.20526,0.014661704,Uptrend,262.516,0
1231,AAPL,10/22/25,262.396,262.595,255.183,258.2,45015300,-0.0164402,-0.016440903,254.27855,242.7807,0.01506085,Uptrend,262.516,-0.016440903
1232,AAPL,10/23/25,259.688,260.368,257.76,259.329,32754900,0.0043721,0.004372579,254.41395,243.3052,0.014561744,Uptrend,262.516,-0.012140212
1233,AAPL,10/24/25,260.937,263.874,258.929,262.565,38253700,0.0124819,0.012478358,254.78155,243.9054,0.01471812,Uptrend,262.565,0
1234,AAPL,10/27/25,264.623,268.859,264.394,268.55,44888200,0.0227911,0.022794356,255.49985,244.64908,0.015392119,Uptrend,268.55,0
1235,AAPL,10/28/25,268.729,269.629,267.89,268.739,41534800,0.000706831,0.00070378,256.21765,245.41054,0.015392693,Uptrend,268.739,0
1236,AAPL,10/29/25,269.019,271.147,266.851,269.439,51086700,0.0026023,0.002604758,256.92945,246.19258,0.015392548,Uptrend,269.439,0
1237,AAPL,10/30/25,271.727,273.875,268.22,271.137,69886500,0.00630323,0.006301983,257.64225,247.0995,0.01538917,Uptrend,271.137,0
1238,AAPL,10/31/25,276.722,277.051,268.899,270.108,86167100,-0.0037951,-0.003795129,258.25915,248.00802,0.015458554,Uptrend,271.137,-0.003795129
1239,AAPL,11/3/25,270.158,270.588,265.992,268.789,50194600,-0.00488221,-0.004883232,258.87655,248.83302,0.015451612,Uptrend,271.137,-0.008659829
1240,AAPL,11/4/25,268.07,271.227,267.361,269.778,49274800,0.00367962,0.003679466,259.55385,249.68978,0.015434035,Uptrend,271.137,-0.005012226
1241,AAPL,11/5/25,268.35,271.437,266.671,269.878,43683100,0.000370358,0.000370675,260.15725,250.50558,0.015419873,Uptrend,271.137,-0.004643409
1242,AAPL,11/6/25,267.631,273.135,267.631,269.509,51204000,-0.00136973,-0.001367284,260.943,251.29042,0.014865205,Uptrend,271.137,-0.006004345
1243,AAPL,11/7/25,269.539,272.026,266.512,268.21,48227400,-0.0048189,-0.004819876,262.1019,252.00792,0.012141202,Uptrend,271.137,-0.010795281
1244,AAPL,11/10/25,268.96,273.73,267.46,269.43,41312400,0.00454868,0.004548675,263.2024,252.75822,0.012080703,Uptrend,271.137,-0.00629571
1245,AAPL,11/11/25,269.81,275.91,269.8,275.25,46208300,0.0216012,0.021601158,264.5884,253.67326,0.01263533,Uptrend,275.25,0
1246,AAPL,11/12/25,275,275.73,271.7,273.47,48398000,-0.00646684,-0.006466848,265.80695,254.37788,0.012906605,Uptrend,275.25,-0.006466848
1247,AAPL,11/13/25,274.11,276.7,272.09,272.95,49602800,-0.00190145,-0.001901488,267.09395,255.04592,0.012681268,Uptrend,275.25,-0.00835604
1248,AAPL,11/14/25,271.05,275.96,269.6,272.41,47431300,-0.00197842,-0.001978384,268.11215,255.70496,0.012291726,Uptrend,275.25,-0.010317893
1249,AAPL,11/17/25,268.82,270.49,265.73,267.46,45018300,-0.0181712,-0.018171139,268.38585,256.30116,0.010094873,Uptrend,275.25,-0.028301544
1250,AAPL,11/18/25,269.99,270.71,265.32,267.44,45677300,-7.47365E-05,-7.47775E-05,268.63205,256.9675,0.010095487,Uptrend,275.25,-0.028374205
1251,AAPL,11/19/25,265.53,272.21,265.5,268.56,40424500,0.00418784,0.004187855,269.15005,257.8073,0.00923971,Uptrend,275.25,-0.024305177
